SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,rnum,CONCAT_ADDRESS
16896,CDM,PPD,C16014,1-HDKP5,,United_States,faxtonst lukes healthcare,new york,oneida,13502,,1838,807 newell stclinical trials
16897,CDM,PPD,SHP647-301,1-ZUUUR9,,United_States,mohawk valley endoscopy center,new york,utica,13502,,1839,116 business park drive
16899,CDM,PRA,Zik-101,58002,1-1GGKKHM,United_States,regional clinical research,ny,endwell,13760,,1841,415 hooper road
16902,CDM,PPD,C16014,1-FDPHH,,United_States,broome oncology  usor,new york,johnson city,13790,,1844,30 harrison streetsuite 100
16903,CDM,PPD,SHP621-301,1-H3LR1W,,United_States,binghamton gastroenterology associates pc,new york,binghamton,13903,,1845,40 mitchell avenue
16904,CDM,PPD,NSMM-5001,1-LECJI8,,United_States,broome oncology  usor,new york,binghamton,13905,,1846,169 riverside drivesuite 100
16905,CDM,PPD,SHP607-202,1-15NMQYS,,United_States,brooks memorial hospital,new york,dunkirk,14048,,1847,529 central avenue
16906,CDM,PPD,SHP647-301,1-14GB659,,United_States,circuit clinical,new york,newfane,14108,,1848,2658 main street
16908,CDM,PPD,SHP647-305,1-ZWXGPP,,United_States,buffalo gastroenterology associates llp,new york,orchard park,14127,,1850,260 red tail road
16910,CDM,PPD,SHP647-301,1-1KK449V,,United_States,circuit clinical,new york,orchard park,14127,,1852,3065 southwestern boulevardsuite 100
16912,CDM,PPD,TAK-079-1005,1-6HJR5F8,,United_States,dent neurologic institute,new york,orchard park,14127,,1854,200 sterling drneuropharmacologysuite 500
16913,CDM,PPD,SHP647-307,307-779,,United_States,southtowns gastroenterology pllc,new york,orchard park,14127,,1855,310 sterling drivesuite 100
16918,CDM,PPD,SHP620-303,1-TJ8O0Z,,United_States,buffalo general hospital,new york,buffalo,14203,,1860,100 high streetjacobs school of medicine and biomedical sciences
16919,CDM,PPD,TAK-079-1005,1-5D61DRW,,United_States,buffalo general medical center,new york,buffalo,14203,,1861,100 high street
16920,CDM,PPD,C16014,58042,,United_States,roswell park cancer institute,new york,buffalo,14203,,1862,1 elm and carlton street
16925,CDM,PPD,TAK-079-1005,1-5D8IUZ7,,United_States,sunybuffalo jacobs neurological institute,new york,buffalo,14203,,1867,100 high streetalzheimers disease and memory disorders centersuite 405
16926,CDM,IQVIA,161503,114,1-2XGG48X,United_States,women  childrens hospital of buffalo,buffalo,new york,14203,,1868,1001 main st
16927,CDM,PPD,MLN0002-3024,1-7JXXRK0,,United_States,john r oishei childrens hospital,new york,buffalo,142031021,,1869,818 ellicott st
