SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,rnum,CONCAT_ADDRESS
18646,CDM,PPD,SHP647-304,1-24HTTBM,,United_States,digestive healthcare,north carolina,raleigh,27607,,3588,2417 atrium drivesuite 150
18653,CDM,PPD,SHP647-305,1-1117NMI,,United_States,north carolina clinical research  crn  ppds,north carolina,raleigh,27607,,3595,4301 lake boone trailsuite 309 a
18655,CDM,PPD,SHP647-301,1-ZWXQTF,,United_States,raleigh endoscopy center,north carolina,raleigh,27607,,3597,2417 atrium drivesuite 101
18657,CDM,PPD,C16029,1-YQMPL5,,United_States,raleigh hematology oncology associates,north carolina,raleigh,27607,,3599,4101 macon pond road
18658,CDM,PPD,TAK-079-1005,1-5D85A79,,United_States,raleigh neurology associates pa,north carolina,raleigh,27607,,3600,1540 sunday drive
18662,CDM,PPD,SHP647-305,1-1311LLP,,United_States,wake endoscopy center,north carolina,raleigh,27607,,3604,2601 lake drivesuite 201
18669,CDM,IQVIA,TAK-994-1501,58044,1-51CUUJI,United_States,raleigh neurology associates,raleigh,north carolina,276076010,,3611,1540 sunday drste 100
18671,CDM,PPD,Pevonedistat-1016,1-3SC63LP,,United_States,duke raleigh cancer center,north carolina,raleigh,27609,,3613,3404 wake forest roadsuite 9000
18673,CDM,PPD,SHP647-301,1-205DFPL,,United_States,north raleigh gastroenterology pa,north carolina,raleigh,27609,,3615,6080c six forks road
18681,CDM,PPD,SHP647-301,1-112J4VL,,United_States,raleigh medical group,north carolina,raleigh,27609,,3623,3509 haworth drive
18689,CDM,PPD,SHP621-301,1-H0C8WL,,United_States,wakemed health and hospitals,north carolina,raleigh,27610,,3631,3000 new bern avenue
18691,CDM,IQVIA,TAK-101-2001,58003,1-4YNIN2R,United_States,carolinas gi research llc,raleigh,north carolina,27612,,3633,3100 duraleigh rdsuite 310
18692,CDM,PPD,SHP647-305,1-ZWXR6D,,United_States,m3 wake research inc  m3 wr  ern  ppds,north carolina,raleigh,27612,,3634,3100 duraleigh roadsuite 304
18694,CDM,PRA,TAK-906-2002,58006,1-1JYYVNP,United_States,wake research associates,nc,raleigh,27612,,3636,3100 duraleigh road
18695,CDM,PPD,SHP647-301,1-205DFP9,,United_States,gastrointestinal healthcare,north carolina,raleigh,27615,,3637,2011 falls valley drivesuite 106
18702,CDM,PPD,SHP647-305,1-XFRQ0Q,,United_States,clinical trials of north carolina,north carolina,durham,27701,,3644,1416 woodland drivesuite 102
18704,CDM,IQVIA,161301,161301-080,1-25MTU6V,United_States,quintiles france,durham,north carolina,27703,,3646,4820 emperor blvdattn qcare 8th floor
18705,CDM,IQVIA,SHP643-403,117,1-4F22JLE,United_States,duke asthma allergy  airway center,durham,north carolina,27704,,3647,4309 medical park drivesuite 100
18707,CDM,PPD,TAK-007-2001,58012,,United_States,duke cancer institute,north carolina,durham,27705,,3649,2400 pratt streetdumc 3961suite 5000
18708,CDM,IQVIA,SHP655-101,107,1-4ER7DFV,United_States,duke university medical center,durham,north carolina,27705,,3650,2301 erwin rd
18709,CDM,PPD,C16011,1-E0Z346,,United_States,duke university medical center,north carolina,durham,27705,,3651,2200 west main streetoffice of corporate research collaborationssuite 9000
18713,CDM,PPD,TAK-071-2002,1-65RA3C9,,United_States,duke university school of medicine,north carolina,durham,27705,,3655,2400 pratt streetinternal medicineinfectious disease department
18714,CDM,PPD,C16029,1-118022Y,,United_States,durham va medical center  navref  ppds,north carolina,durham,27705,,3656,508 fulton street
18715,CDM,PPD,P2002,58026,,United_States,duke university health system duhs,north carolina,durham,277053976,,3657,2400 pratt st ste 5000
