SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND,COUNTRY
2087,2078,1,1,1,1,3,7,Austria
2089,2088,1,1,1,1,0,4,Austria
2091,2088,1,1,1,1,0,4,Austria
2094,2088,1,1,1,1,0,4,Austria
2090,2088,1,1,1,1,3,7,Austria
2092,2088,1,1,1,1,3,7,Austria
2093,2088,1,1,1,1,3,7,Austria
2098,2097,1,1,1,1,3,7,Austria
2099,2097,1,1,1,1,3,7,Austria
2100,2097,1,1,1,1,3,7,Austria
2101,2097,1,1,1,1,3,7,Austria
2102,2097,1,1,1,1,3,7,Austria
2103,2097,0,1,1,1,3,6,Austria
2105,2104,1,1,1,1,0,4,Austria
2107,2106,1,1,1,1,3,7,Austria
2113,2108,1,1,1,1,3,7,Austria
2109,2108,1,1,1,1,0,4,Austria
2111,2108,1,1,1,1,0,4,Austria
2110,2108,1,1,1,1,3,7,Austria
2112,2108,1,1,1,1,3,7,Austria
2115,2108,1,1,1,1,3,7,Austria
2116,2108,1,1,1,1,3,7,Austria
2117,2108,1,1,1,1,3,7,Austria
2118,2108,1,1,1,1,3,7,Austria
2114,2108,1,1,1,1,3,7,Austria
