SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,Unnamed: 15,CONCAT_ADDRESS
15089,CDM,PPD,SHP647-304,1-24D0UI9,,United_States,"Berkshire Gastroenterology, PC",Massachusetts,Pittsfield,01201,,31.0,24 Charles Street
15094,CDM,PPD,C16014,1-E46RV,,United_States,Berkshire Hematology Oncology,Massachussets,North Adams,01247,,36.0,77 Hospital Avenue
15096,CDM,PPD,C16014,58147,,United_States,University of Massachusetts Memorial Health Care,Massachusetts,Fitchburg,01420,,38.0,275 Nichols RoadHealth Alliance
15097,CDM,PPD,Pevonedistat-2001,1-D8Y2U0,,United_States,UMass Memorial Medical Center,Massachusetts,Worcester,01605,,39.0,55 Lake Avenue NorthDepartment of Hematology Oncology
15098,CDM,PPD,Pevonedistat-3001,1-16QRYJP,,United_States,University of Massachusetts,Massachusetts,Worcester,01605,,40.0,55 Lake Avenue North
15099,CDM,PPD,C16014,58047,,United_States,University of Massachusetts Medical School,Massachusetts,Worcester,01605,,41.0,281 Lincoln Street
15100,CDM,PPD,SHP607-202,1-17HMXX9,,United_States,University of Massachusetts Memorial Childrens Medical Center,Massachusetts,Worcester,01605,,42.0,119 Belmont Street
15102,CDM,PPD,NSMM-5001,1-LECJLC,,United_States,Reliant Medical Group,Massachusetts,Worcester,01608,,44.0,123 Summer Street
15179,CDM,IQVIA,TED-R13-002,0529,1-13YHNGN,United_States,Massachusetts General Hospital,Boston,Massachusetts,02114,,121.0,"55 Fruit St, Suite 1201Warren Building"
15181,CDM,PRA,TAK-018-2001,58003,1-1MZT64F,United_States,Massachusetts General Hospital,MA,Boston,02114,,123.0,55 Fruit Street
15182,CDM,PRA,TAK-164-1001,58005,1-1LE5Z2A,United_States,Massachusetts General Hospital,MA,Boston,02114,,124.0,55 Fruit StreetLawrence House 226
