SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
2124,2124,"Minsk Scientific and Practical Center of Surgery, Transplantation and Haematology","Minsk Scientific and Practical Center of Surgery, Transplantation and Haematology",1.0,MINSK,MINSK,1.0,Minsk,Minsk,1.0,Semashko Street 8,Semashko Street 8,3.0,220045,220045,1.0,7.0
2125,2125,"Republican Scientific and Practical Center of Children's Oncology, Hematology and Immunology","Republican Scientific and Practical Center of Children's Oncology, Hematology and Immunology",1.0,MINSK,MINSK,1.0,Minsk,Minsk,1.0,Frunzenskaya street 43village BorovlyanyBorovlyanskiy ss,Frunzenskaya street 43village BorovlyanyBorovlyanskiy ss,3.0,223053,223053,1.0,7.0
2126,2126,Republican Research Centre for Radiation Medicine and Human Ecology,Republican Research Centre for Radiation Medicine and Human Ecology,1.0,HOMYELRSKAYA,HOMYELRSKAYA,1.0,Gomel,Gomel,1.0,Ilyicha Street 290,Ilyicha Street 290,3.0,246040,246040,1.0,7.0
